ID_POL;Fecha_Siniestro;TipoSin;Costes
B80003;22/10/2017;Daños Propios;270,55
B80003;15/09/2017;Daños Propios;384,86
B80003;06/05/2017;Daños Propios;386,88
B80003;06/05/2017;Daños Propios;386,88
B80003;21/10/2017;Daños Propios;698,98
B80003;06/05/2017;Daños Propios;701,7
B80013;31/10/2017;Daños Propios;71,96
B80026;19/07/2017;Daños Propios;1077,71
B80062;12/05/2017;Daños Propios;332,02
B80080;10/10/2017;Daños Propios;238,33
B80086;20/01/2017;Daños Propios;2048,79
B80089;17/10/2017;Daños Propios;478,81
B80105;23/10/2017;Daños Propios;197,97
B80105;23/10/2017;Daños Propios;315,1
B80105;23/10/2017;Daños Propios;365,37
B80105;23/10/2017;Daños Propios;480,62
B80105;23/10/2017;Daños Propios;531,99
B80138;17/02/2017;Daños Propios;83,59
B80138;04/03/2017;Daños Propios;99,24
B80138;17/07/2017;Daños Propios;299,73
B80165;25/07/2017;Daños Propios;297,7
B80165;25/07/2017;Daños Propios;329,63
B80165;25/07/2017;Daños Propios;452,62
B80165;25/07/2017;Daños Propios;460,31
B80178;08/01/2017;Daños Propios;358,57
B80192;01/09/2017;Daños Propios;196,49
B80229;01/11/2017;Daños Propios;51,57
B80233;22/09/2017;Daños Propios;321,39
B80268;30/10/2017;Daños Propios;188,87
B80268;30/10/2017;Daños Propios;268,1
B80268;30/10/2017;Daños Propios;325,67
B80268;30/10/2017;Daños Propios;420,61
B80268;30/10/2017;Daños Propios;455,64
B80273;20/06/2017;Daños Propios;190,86
B80273;19/06/2017;Daños Propios;615,43
B80299;17/10/2017;Daños Propios;450,06
B80326;11/03/2017;Daños Propios;167,26
B80331;04/08/2017;Daños Propios;167,83
B80350;03/02/2017;Daños Propios;284,7
B80355;24/02/2017;Daños Propios;841,83
B80387;09/09/2017;Daños Propios;475,38
B80413;20/10/2017;Daños Propios;446,32
B80423;30/10/2017;Daños Propios;69,07
B80423;30/10/2017;Daños Propios;154,18
B80423;03/11/2017;Daños Propios;192,46
B80423;30/10/2017;Daños Propios;264,93
B80423;30/10/2017;Daños Propios;291
B80423;20/03/2017;Daños Propios;351,25
B80443;11/07/2017;Daños Propios;182,2
B80443;11/07/2017;Daños Propios;324,28
B80443;11/07/2017;Daños Propios;362,03
B80443;11/07/2017;Daños Propios;544,1
B80471;26/06/2017;Daños Propios;432,6
B80490;04/08/2017;Daños Propios;826,32
B80490;03/05/2017;Daños Propios;1281,01
B80522;20/05/2017;Daños Propios;253,4
B80530;20/07/2017;Daños Propios;1881,65
B80550;02/09/2017;Daños Propios;186,29
B80550;21/07/2017;Daños Propios;255,43
B80550;21/07/2017;Daños Propios;337,42
B80550;21/07/2017;Daños Propios;339,31
B80550;21/07/2017;Daños Propios;363,22
B80550;17/08/2017;Daños Propios;529,8
B80550;13/10/2017;Daños Propios;567,69
B80568;19/06/2017;Daños Propios;5,63
B80609;28/06/2017;Daños Propios;308,27
B80623;21/08/2017;Daños Propios;1458,82
B80624;04/10/2017;Daños Propios;83,59
B80624;14/10/2017;Daños Propios;95,25
B80644;30/10/2017;Daños Propios;276,81
B80644;30/10/2017;Daños Propios;280,77
B80644;30/10/2017;Daños Propios;322,38
B80644;11/03/2017;Daños Propios;418,91
B80644;30/10/2017;Daños Propios;662,18
B80644;30/10/2017;Daños Propios;833,74
B80648;17/09/2017;Daños Propios;601,5
B80648;14/09/2017;Daños Propios;849,02
B80654;11/02/2017;Daños Propios;469,32
B80674;01/04/2017;Daños Propios;664,78
B80674;27/08/2017;Daños Propios;764,97
B80689;12/03/2017;Daños Propios;2029,51
B80734;10/04/2017;Daños Propios;71,96
B80734;08/04/2017;Daños Propios;102,49
B80736;19/05/2017;Daños Propios;2459,55
B80744;18/09/2017;Daños Propios;520,36
B80744;12/09/2017;Daños Propios;889,56
B80744;11/09/2017;Daños Propios;943,86
B80783;28/07/2017;Daños Propios;450,05
B80786;13/03/2017;Daños Propios;299,73
B80830;03/05/2017;Daños Propios;613,13
B80833;15/10/2017;Daños Propios;297,38
B80833;20/09/2017;Daños Propios;1025,56
B80901;13/11/2017;Daños Propios;328,01
B80902;05/07/2017;Daños Propios;391,12
B80917;29/06/2017;Daños Propios;1887,37
B80930;15/10/2017;Daños Propios;149,53
B80930;15/10/2017;Daños Propios;266,92
B80930;15/10/2017;Daños Propios;393,41
B80930;15/10/2017;Daños Propios;395,06
B80930;15/10/2017;Daños Propios;396,7
B80980;11/06/2017;Daños Propios;370,61
B80985;24/09/2017;Daños Propios;78,99
B81003;04/01/2017;Daños Propios;1242,05
B81020;01/09/2017;Daños Propios;406,55
B81020;02/12/2017;Daños Propios;1315,98
B81031;21/10/2017;Daños Propios;289,03
B81031;21/10/2017;Daños Propios;402,15
B81031;21/10/2017;Daños Propios;440,64
B81031;21/10/2017;Daños Propios;444,95
B81031;21/10/2017;Daños Propios;539,06
B81066;23/01/2017;Daños Propios;1312,9
B81089;03/05/2017;Daños Propios;546,46
B81106;07/10/2017;Daños Propios;297,14
B81134;28/07/2017;Daños Propios;820,57
B81142;25/03/2017;Daños Propios;1164,17
B81153;22/07/2017;Daños Propios;14
B81159;21/04/2017;Daños Propios;396,09
B81168;28/07/2017;Daños Propios;83,59
B81210;19/10/2017;Daños Propios;362,43
B81210;20/10/2017;Daños Propios;366
B81210;18/10/2017;Daños Propios;468,9
B81213;07/11/2017;Daños Propios;1137,5
B81225;06/10/2017;Daños Propios;190,82
B81225;06/10/2017;Daños Propios;470,34
B81225;06/10/2017;Daños Propios;488,72
B81225;06/10/2017;Daños Propios;787,44
B81225;06/10/2017;Daños Propios;795,85
B81262;21/10/2017;Daños Propios;284,78
B81289;24/02/2017;Daños Propios;123,38
B81297;30/01/2017;Daños Propios;399,27
B81304;22/10/2017;Daños Propios;2267,5
B81319;26/10/2017;Daños Propios;281,89
B81319;25/10/2017;Daños Propios;448,99
B81323;30/10/2017;Daños Propios;107,52
B81323;30/10/2017;Daños Propios;132,11
B81323;30/10/2017;Daños Propios;464,12
B81323;30/10/2017;Daños Propios;468,11
B81323;09/04/2017;Daños Propios;542,16
B81323;09/04/2017;Daños Propios;553,34
B81323;30/10/2017;Daños Propios;592,4
B81323;09/04/2017;Daños Propios;600,86
B81323;09/04/2017;Daños Propios;617,45
B81323;09/04/2017;Daños Propios;865,28
B81326;04/11/2017;Daños Propios;614,34
B81330;04/10/2017;Daños Propios;564,4
B81341;29/09/2017;Daños Propios;278,26
B81341;29/09/2017;Daños Propios;396,02
B81341;29/09/2017;Daños Propios;429,6
B81341;29/09/2017;Daños Propios;1509,67
B81353;28/08/2017;Daños Propios;774,77
B81379;10/02/2017;Daños Propios;495,2
B81425;02/12/2017;Daños Propios;215,27
B81432;27/10/2017;Daños Propios;65,59
B81432;15/10/2017;Daños Propios;66,09
B81432;12/09/2017;Daños Propios;292,22
B81443;15/10/2017;Daños Propios;224,16
B81443;15/10/2017;Daños Propios;298,84
B81454;10/10/2017;Daños Propios;136,08
B81454;10/10/2017;Daños Propios;143,68
B81454;10/10/2017;Daños Propios;156,45
B81454;10/10/2017;Daños Propios;217,78
B81475;31/03/2017;Daños Propios;301,06
B81475;03/07/2017;Daños Propios;394,94
B81475;03/07/2017;Daños Propios;606,44
B81492;15/12/2017;Daños Propios;2421,81
B81508;25/04/2017;Daños Propios;349,3
B81510;04/11/2017;Daños Propios;199,29
B81510;04/11/2017;Daños Propios;305,29
B81510;03/11/2017;Daños Propios;386,49
B81510;04/11/2017;Daños Propios;541,51
B81510;04/11/2017;Daños Propios;563,29
B81519;05/02/2017;Daños Propios;546,44
B81553;25/02/2017;Daños Propios;318,63
B81553;21/10/2017;Daños Propios;2414,45
B81584;07/04/2017;Daños Propios;53,26
B81604;28/10/2017;Daños Propios;1295,38
B81611;06/11/2017;Daños Propios;472,83
B81620;15/10/2017;Daños Propios;387,5
B81620;15/10/2017;Daños Propios;406,51
B81620;15/10/2017;Daños Propios;423,92
B81620;15/10/2017;Daños Propios;525,77
B81621;22/10/2017;Daños Propios;1234,43
B81636;28/10/2017;Daños Propios;446,05
B81636;22/04/2017;Daños Propios;1602,41
B81668;18/02/2017;Daños Propios;506,79
B81686;20/03/2017;Daños Propios;276,86
B81687;20/08/2017;Daños Propios;152,99
B81687;08/08/2017;Daños Propios;293,32
B81687;08/08/2017;Daños Propios;359,61
B81687;08/08/2017;Daños Propios;404,79
B81687;08/08/2017;Daños Propios;477,07
B81732;21/11/2017;Daños Propios;1101,53
B81754;05/06/2017;Daños Propios;125,25
B81797;25/08/2017;Daños Propios;232,42
B81812;01/09/2017;Daños Propios;572,93
B81825;04/01/2017;Daños Propios;2412,31
B81827;12/10/2017;Daños Propios;1521,52
B81904;03/03/2017;Daños Propios;865,21
B81925;22/10/2017;Daños Propios;365,62
B81937;13/10/2017;Daños Propios;1611,6
B81941;09/06/2017;Daños Propios;387,91
B81975;02/09/2017;Daños Propios;548,01
B82002;24/10/2017;Daños Propios;276,07
B82002;24/10/2017;Daños Propios;360,3
B82002;24/10/2017;Daños Propios;423,98
B82002;24/10/2017;Daños Propios;448,26
B82008;19/09/2017;Daños Propios;735,93
B82016;27/05/2017;Daños Propios;250,24
B82021;10/10/2017;Daños Propios;597,9
B82021;10/10/2017;Daños Propios;949,76
B82027;21/07/2017;Daños Propios;471,38
B82054;27/10/2017;Daños Propios;377,33
B82054;27/10/2017;Daños Propios;448,52
B82054;27/10/2017;Daños Propios;586,11
B82065;24/10/2017;Daños Propios;199,14
B82065;24/10/2017;Daños Propios;244,13
B82065;24/10/2017;Daños Propios;384,09
B82083;03/11/2017;Daños Propios;385,02
B82083;02/11/2017;Daños Propios;757,62
B82085;01/03/2017;Daños Propios;405,6
B82091;03/09/2017;Daños Propios;318,76
B82091;03/09/2017;Daños Propios;1145,06
B82091;20/05/2017;Daños Propios;1715,32
B82121;20/05/2017;Daños Propios;299,73
B82121;29/10/2017;Daños Propios;942,31
B82164;13/02/2017;Daños Propios;3449,97
B82200;24/03/2017;Daños Propios;326,93
B82209;17/11/2017;Daños Propios;356,01
B82209;17/11/2017;Daños Propios;1152,04
B82229;07/08/2017;Daños Propios;240,67
B82229;07/08/2017;Daños Propios;298,47
B82241;21/04/2017;Daños Propios;176,72
B82241;29/10/2017;Daños Propios;226,2
B82241;29/10/2017;Daños Propios;319,94
B82241;28/10/2017;Daños Propios;319,94
B82242;09/03/2017;Daños Propios;511,42
B82253;05/10/2017;Daños Propios;299,73
B82278;31/10/2017;Daños Propios;389,57
B82289;18/12/2017;Daños Propios;368,56
B82289;19/12/2017;Daños Propios;571,05
B82362;17/03/2017;Daños Propios;306,81
B82381;03/02/2017;Daños Propios;280,05
B82381;24/07/2017;Daños Propios;1630,37
B82438;14/10/2017;Daños Propios;346,7
B82438;14/10/2017;Daños Propios;444,86
B82438;14/10/2017;Daños Propios;455,73
B82461;01/10/2017;Daños Propios;475,86
B82461;01/10/2017;Daños Propios;575,25
B82471;03/11/2017;Daños Propios;130,74
B82471;03/11/2017;Daños Propios;137,43
B82471;03/11/2017;Daños Propios;307,21
B82471;03/11/2017;Daños Propios;313,18
B82471;03/08/2017;Daños Propios;909
B82488;01/04/2017;Daños Propios;210,56
B82523;27/09/2017;Daños Propios;692,45
B82529;29/09/2017;Daños Propios;170,4
B82529;29/09/2017;Daños Propios;222,3
B82529;29/09/2017;Daños Propios;230,72
B82529;30/09/2017;Daños Propios;448,62
B82529;29/09/2017;Daños Propios;474,05
B82529;29/09/2017;Daños Propios;502,84
B82535;20/10/2017;Daños Propios;2999,77
B82584;01/08/2017;Daños Propios;248,56
B82584;15/08/2017;Daños Propios;421,53
B82601;29/04/2017;Daños Propios;444,89
B82627;23/04/2017;Daños Propios;422,87
B82647;17/03/2017;Daños Propios;1198,47
B82668;22/09/2017;Daños Propios;140,53
B82668;17/09/2017;Daños Propios;159,14
B82671;23/10/2017;Daños Propios;2107,56
B82678;15/07/2017;Daños Propios;196,95
B82678;15/07/2017;Daños Propios;523,11
B82678;20/10/2017;Daños Propios;574,82
B82678;15/07/2017;Daños Propios;845,1
B82678;15/07/2017;Daños Propios;865,58
B82678;15/07/2017;Daños Propios;889,62
B82678;30/03/2017;Daños Propios;1197,78
B82679;03/11/2017;Daños Propios;186,23
B82679;03/11/2017;Daños Propios;200,93
B82679;03/11/2017;Daños Propios;288,23
B82679;03/11/2017;Daños Propios;415,44
B82688;06/02/2017;Daños Propios;341,98
B82688;29/07/2017;Daños Propios;767,28
B82692;18/09/2017;Daños Propios;3323,38
B82782;28/10/2017;Daños Propios;961,19
B82788;09/12/2017;Daños Propios;1075,35
B82806;04/08/2017;Daños Propios;729,68
