ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80001;10;A;90;1096;11886,71;D;1;29;3;20;15/04/2017;14/10/2017
B80001;10;A;90;1096;11886,71;D;2;57;10;20;01/01/2017;14/04/2017
B80003;6;S;140;1650;23828,12;D;1;35;6;50;01/01/2017;04/11/2017
B80004;7;A;110;1300;18484,55;D;1;44;10;50;01/01/2017;25/11/2017
B80006;8;A;110;1200;14537,26;G;1;58;10;50;01/01/2017;04/11/2017
B80007;4;A;109;1168;13414,63;G;2;31;7;50;01/01/2017;16/12/2017
B80008;10;A;130;1387;21902,41;D;1;51;10;50;01/01/2017;04/11/2017
B80009;10;A;110;1095;12752,21;G;1;48;10;50;01/01/2017;04/11/2017
B80010;10;A;90;1096;10200,94;D;2;45;10;30;30/01/2017;12/11/2017
B80010;10;A;90;1096;10200,94;D;2;45;10;30;01/01/2017;29/01/2017
B80011;10;A;65;1110;11995,81;D;2;39;10;20;01/01/2017;05/11/2017
B80012;7;A;115;1309;18444,95;D;1;37;6;40;01/01/2017;27/11/2017
B80013;1;A;85;1029;10997,71;G;2;43;10;40;01/01/2017;04/11/2017
B80014;10;A;60;1055;12247,03;D;1;47;10;50;01/01/2017;04/11/2017
B80015;10;A;90;1220;13069,77;G;1;47;10;30;01/01/2017;13/08/2017
B80015;10;A;90;1220;13069,77;G;1;47;10;30;28/08/2017;04/11/2017
B80015;10;A;90;1220;13069,77;G;1;47;10;30;14/08/2017;27/08/2017
B80016;10;A;90;1290;14898,26;D;1;39;10;50;01/01/2017;04/11/2017
B80017;9;A;130;1405;24612,3;D;1;35;10;50;01/01/2017;12/01/2017
B80017;9;A;90;1312;14469,61;D;1;35;10;50;13/01/2017;19/01/2017
B80017;9;A;130;1310;21138,03;G;1;35;10;50;20/01/2017;04/11/2017
B80018;10;A;130;1387;21042,43;D;1;38;10;50;01/01/2017;27/11/2017
B80019;10;A;90;1349;11727,07;D;2;39;7;50;01/01/2017;04/11/2017
B80020;8;A;90;1205;13902,44;D;1;50;10;50;01/01/2017;11/11/2017
B80021;9;A;75;845;7870,39;G;1;56;10;50;01/01/2017;04/11/2017
B80022;0;A;90;1027;14670,26;G;1;66;10;50;26/06/2017;31/12/2017
B80022;0;A;90;1027;14670,26;G;1;66;10;50;19/01/2017;25/06/2017
B80023;8;A;60;945;6352,16;G;2;56;10;50;01/01/2017;04/11/2017
B80024;2;S;170;1770;34224,92;D;1;69;10;50;18/01/2017;18/08/2017
B80024;2;S;170;1770;34224,92;D;1;69;10;50;19/08/2017;31/12/2017
B80025;7;A;92;1182;14133,02;D;1;51;10;50;01/01/2017;17/11/2017
B80026;9;S;109;1360;20975,61;D;1;45;10;50;01/01/2017;04/11/2017
B80027;6;A;110;1530;19858,32;D;1;48;10;50;01/01/2017;15/11/2017
B80028;10;A;114;1137;12069,1;G;2;41;10;50;01/01/2017;04/11/2017
B80029;4;A;110;1230;13783,27;G;1;60;10;50;01/01/2017;06/11/2017
B80030;4;A;120;1333;14501,56;G;1;44;10;50;01/01/2017;11/11/2017
B80031;7;A;177;1365;23008,13;D;1;56;10;50;01/01/2017;11/11/2017
B80032;10;A;75;1021;11613,71;G;2;32;5;20;01/01/2017;30/11/2017
B80033;10;A;145;1400;19050,53;G;1;46;10;50;01/01/2017;04/11/2017
B80034;9;A;110;1350;18985,59;D;1;43;10;50;01/01/2017;09/12/2017
B80035;10;A;102;994;9161,77;G;1;49;10;20;01/01/2017;13/12/2017
B80036;10;A;58;910;9006,66;D;1;45;10;50;01/01/2017;04/11/2017
B80040;7;T;183;1505;35374,81;G;1;46;10;40;18/03/2017;04/11/2017
B80040;7;T;183;1505;35374,81;G;1;46;10;40;01/01/2017;17/03/2017
B80041;10;A;150;1460;24176,59;D;2;34;7;0;01/01/2017;04/11/2017
B80042;5;A;109;1357;14677,24;D;1;73;10;50;01/01/2017;04/11/2017
B80043;10;A;60;880;8005,67;D;2;42;2;50;01/01/2017;07/11/2017
B80044;10;A;71;1163;11730,26;D;2;38;10;40;01/01/2017;04/11/2017
B80045;8;A;92;1182;16002,94;D;1;33;10;20;01/01/2017;04/11/2017
B80046;2;A;173;1800;28686,08;D;2;37;10;50;01/01/2017;29/11/2017
B80047;10;A;90;1405;15855,97;D;1;55;10;50;01/01/2017;11/11/2017
B80048;10;A;115;1880;24421,41;D;1;34;10;50;01/01/2017;04/11/2017
B80049;10;A;110;1259;14725,64;D;2;26;5;50;01/01/2017;04/11/2017
B80050;10;A;115;1320;16900,47;G;1;55;10;50;01/01/2017;10/11/2017
B80051;10;A;90;1159;11300,36;D;2;26;7;50;01/01/2017;02/12/2017
B80052;10;A;290;1805;58921,72;G;1;53;10;50;01/01/2017;08/11/2017
B80055;7;S;105;1205;16498,03;D;1;29;9;50;01/01/2017;28/11/2017
B80056;10;A;90;1280;11727,07;D;1;26;8;50;19/02/2017;31/12/2017
B80056;7;A;105;1069;11915,25;G;1;26;8;50;01/01/2017;18/02/2017
B80057;3;A;92;1125;15306,27;D;1;69;10;50;01/01/2017;30/11/2017
B80058;10;A;95;1240;12229;G;1;41;10;50;01/01/2017;05/11/2017
B80059;10;A;98;980;9815,3;G;2;31;7;20;01/01/2017;05/11/2017
B80060;6;A;110;1485;17145,31;D;1;76;10;50;01/01/2017;27/05/2017
B80061;10;A;75;1160;10235,84;D;1;43;10;50;01/01/2017;16/11/2017
B80062;2;A;70;1022;10422,76;D;1;55;10;30;01/01/2017;05/11/2017
B80063;9;A;80;1677;15039,34;D;1;59;10;50;17/02/2017;04/11/2017
B80063;9;A;110;1380;16560,98;D;1;59;10;50;01/01/2017;16/02/2017
B80064;10;A;100;1428;15645,86;D;1;69;10;0;01/01/2017;04/11/2017
B80065;9;A;60;1018;9052,67;G;1;29;2;50;01/01/2017;19/11/2017
B80067;10;A;130;1226;18416,3;D;1;37;10;50;01/01/2017;04/11/2017
B80068;8;A;150;1420;23652,26;D;1;53;10;50;01/01/2017;13/11/2017
B80069;10;A;100;1165;10977;D;2;37;10;50;01/01/2017;04/11/2017
B80070;2;A;85;1090;8980,1;D;1;31;10;50;01/01/2017;28/11/2017
B80071;2;A;86;1064;9514,76;G;2;34;4;50;01/01/2017;04/11/2017
B80072;10;A;64;1130;10223,47;D;2;30;10;50;01/01/2017;04/11/2017
B80073;7;A;105;1170;13209,27;D;2;37;7;50;01/01/2017;05/11/2017
B80074;6;A;106;1407;17463,41;D;1;55;10;50;01/01/2017;19/11/2017
B80075;8;A;129;1590;21134,14;D;1;43;10;50;01/01/2017;04/11/2017
B80076;7;A;75;1014;11567,83;G;1;29;10;20;01/01/2017;04/11/2017
B80078;8;A;70;1060;10536,59;D;2;26;6;40;01/01/2017;19/03/2017
B80079;9;A;75;950;9381,09;G;1;43;10;50;03/01/2017;04/11/2017
B80079;9;A;75;950;9381,09;G;1;43;10;50;01/01/2017;02/01/2017
B80080;1;A;110;1543;21301,33;D;1;32;10;50;01/01/2017;04/11/2017
B80081;10;A;90;1300;14625,94;D;1;58;10;50;01/01/2017;06/11/2017
B80082;10;A;100;1142;11562;D;1;33;10;50;01/01/2017;27/03/2017
B80082;10;A;150;1680;33135,55;D;1;33;10;50;28/03/2017;10/11/2017
B80083;9;A;110;1130;12921,89;D;1;31;10;50;01/01/2017;04/11/2017
B80084;10;A;100;1020;8522,17;G;2;52;10;20;03/01/2017;31/12/2017
B80085;6;A;70;1050;9428,79;G;1;73;10;0;01/01/2017;01/12/2017
B80086;1;S;90;1135;14417,59;D;2;27;8;50;01/01/2017;04/11/2017
B80087;10;A;125;1875;19760,95;D;1;37;10;50;01/01/2017;04/11/2017
B80088;10;A;75;1130;9875,16;D;2;32;10;50;01/01/2017;04/11/2017
B80089;5;A;105;1125;12883,71;D;1;53;10;50;01/01/2017;29/12/2017
B80091;8;A;231;1430;29587,83;G;1;65;10;50;01/01/2017;04/11/2017
B80095;0;A;75;1205;9181,78;D;1;55;10;50;01/01/2017;04/11/2017
B80096;4;S;160;1428;18481,36;D;1;32;10;50;01/01/2017;04/11/2017
