ID_POL;Antigüedad;Forma_Pago;Comb;Sexo;Bonus_RC;start_date;end_date;Expuestos;Edad_FMT;Valor_FMT;Potencia_FMT;Peso_FMT;Carnet_FMT
B80001;10;A;D;1;20;42840;43022;182;03.28-35;02.10-16k;03.90-110;03. 1200;02.2-4
B80001;10;A;D;2;20;42736;42839;103;05.50-65;02.10-16k;03.90-110;03. 1200;04.8-
B80003;6;S;D;1;50;42736;43043;307;04.35-50;04.20-24k;05.130-150;06. 1800;03.5-7
B80004;7;A;D;1;50;42736;43064;328;04.35-50;03.16-20k;04.110-130;04. 1400;04.8-
B80006;8;A;G;1;50;42736;43043;307;05.50-65;02.10-16k;04.110-130;04. 1400;04.8-
B80007;4;A;G;2;50;42736;43085;349;03.28-35;02.10-16k;03.90-110;03. 1200;03.5-7
B80008;10;A;D;1;50;42736;43043;307;05.50-65;04.20-24k;05.130-150;04. 1400;04.8-
B80009;10;A;G;1;50;42736;43043;307;04.35-50;02.10-16k;04.110-130;03. 1200;04.8-
B80010;10;A;D;2;30;42765;43051;286;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80010;10;A;D;2;30;42736;42764;28;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80011;10;A;D;2;20;42736;43044;308;04.35-50;02.10-16k;01.<70;03. 1200;04.8-
B80012;7;A;D;1;40;42736;43066;330;04.35-50;03.16-20k;04.110-130;04. 1400;03.5-7
B80013;1;A;G;2;40;42736;43043;307;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80014;10;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;01.<70;03. 1200;04.8-
B80015;10;A;G;1;30;42736;42960;224;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80015;10;A;G;1;30;42975;43043;68;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80015;10;A;G;1;30;42961;42974;13;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80016;10;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80017;9;A;D;1;50;42736;42747;11;04.35-50;05.24-30k;05.130-150;05. 1600;04.8-
B80017;9;A;D;1;50;42748;42754;6;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80017;9;A;G;1;50;42755;43043;288;04.35-50;04.20-24k;05.130-150;04. 1400;04.8-
B80018;10;A;D;1;50;42736;43066;330;04.35-50;04.20-24k;05.130-150;04. 1400;04.8-
B80019;10;A;D;2;50;42736;43043;307;04.35-50;02.10-16k;03.90-110;04. 1400;03.5-7
B80020;8;A;D;1;50;42736;43050;314;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80021;9;A;G;1;50;42736;43043;307;05.50-65;01.<10k;02.70-90;02. 1000;04.8-
B80022;0;A;G;1;50;42912;43100;188;06.>=65;02.10-16k;03.90-110;03. 1200;04.8-
B80022;0;A;G;1;50;42754;42911;157;06.>=65;02.10-16k;03.90-110;03. 1200;04.8-
